epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,886.473,0,102.989,0,0,0,0,0,0,209.252,0,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,1635.03,0,52.8546,0,0,0,0,0,0,101.827,0,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932
3,2263.48,0,17.3215,0,0,0,0,0,0,19.5284,0,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331
4,2962.47,0,3.52234,0,0,0,0,0,0,1.46498,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,3544.13,0,0.45389,0,0,0,0,0,0,0.15818,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,4126.02,0,0.05082,0,0,0,0,0,0,0.01268,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,4664.99,0,0.00451,0,0,0,0,0,0,0.0047,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,5204.04,0,0.00234,0,0,0,0,0,0,0.00046,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,5741.32,0,0.0004,0,0,0,0,0,0,5e-05,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,6287.9,0,7e-05,0,0,0,0,0,0,2e-05,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
