epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,814.256,0.32853,99.2763,0.38355,3e-05,0.8,0.00012,3e-05,0.4249,195.651,0.49804,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,1501.51,0.24599,54.9549,0.33384,3e-05,0.8,0.00026,7e-05,0.41948,104.58,0.49093,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932
3,2119.98,0.27577,22.2995,0.30067,8e-05,0.8,0.0001,3e-05,0.35317,31.2677,0.43425,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331
4,2718.02,0.24892,7.29257,0.28649,0,0,0,0,0.40769,6.37231,0.51326,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,3308.3,0.25905,2.26572,0.32322,0,0,0,0,0.37066,2.10408,0.46485,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,3914.97,0.29721,0.97516,0.30364,0,0,0,0,0.39371,1.21367,0.49975,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,4505.23,0.19751,0.7204,0.28012,0,0,0,0,0.47547,1.03213,0.5362,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,5107.97,0.21107,0.65619,0.23933,0,0,0,0,0.39242,1.00294,0.46795,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,5703.38,0.16264,0.64943,0.23325,0,0,0,0,0.39099,1.00407,0.4267,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,6305.63,0.21354,0.65167,0.2652,0,0,0,0,0.37178,1.0036,0.41153,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
